time,adc,voltage
14:26:14,23488,1.1762874799725338
14:29:14,27968,1.4244357976653697
14:32:14,23232,1.1666193636987867
14:35:14,22336,1.1215014877546348
14:38:14,22080,1.1150560769054703
14:41:14,19584,0.9893705653467612
14:44:14,21504,1.076383611810483
14:47:15,26880,1.3535362783245595
14:50:15,22912,1.1537285420004577
14:53:15,24192,1.2181826504921034
14:56:15,20160,1.0151522087434195
14:59:15,24128,1.211737239642939
15:02:15,18496,0.9313618677042801
15:05:15,18496,0.9313618677042801
15:08:15,21696,1.0924971389333944
15:11:15,20800,1.0506019684138246
15:14:15,23040,1.1666193636987867
15:17:15,25408,1.282636758983749
15:20:15,48832,2.458924238956283
15:23:15,48576,2.4460334172579534
15:26:15,47232,2.378356603341726
15:29:15,47168,2.371911192492561
15:32:15,46656,2.3493522545204852
15:35:15,20992,1.057047379262989
15:38:15,16512,0.8346807049668116
15:41:15,22208,1.1150560769054703
15:44:15,35520,1.79182421606775
15:47:15,28608,1.4437720302128632
15:50:15,46592,2.3493522545204852
15:53:16,46272,2.3300160219729915
15:56:16,26432,1.327754634927901
15:59:16,24128,1.211737239642939
16:02:16,22208,1.1182787823300526
16:05:16,24192,1.211737239642939
16:08:16,26688,1.3438681620508124
16:11:16,30208,1.521116960402838
16:14:16,29888,1.5050034332799267
16:17:16,24192,1.2181826504921034
16:20:16,23488,1.189178301670863
16:23:16,20032,1.0119295033188374
16:26:16,14976,0.7541130693522544
16:29:16,46144,2.326793316548409
16:32:16,46656,2.3429068436713205
16:35:16,47040,2.368688487067979
16:38:16,47680,2.4009155413138017
16:41:16,47744,2.4073609521629664
16:44:16,47936,2.4138063630121307
16:47:16,48128,2.423474479285878
16:50:16,47552,2.3944701304646374
16:53:16,46144,2.323570611123827
16:56:16,45824,2.310679789425498
16:59:16,45888,2.31390249485008
17:02:16,45632,2.297788967727169
17:05:16,45824,2.310679789425498
17:08:16,45696,2.3010116731517507
17:11:16,12800,0.6445410849164569
17:14:17,13056,0.6574319066147859
17:17:17,16384,0.8217898832684825
17:20:17,13760,0.6928816662851911
17:23:17,15168,0.7637811856260013
17:26:17,47360,2.381579308766308
17:29:17,47616,2.3976928358892193
17:32:17,47168,2.371911192492561
17:35:17,46784,2.359020370794232
17:38:17,46336,2.3332387273975734
17:41:17,46400,2.3364614328221562
17:44:17,14656,0.737999542229343
17:47:17,12672,0.6380956740672923
17:50:17,18944,0.9571435111009383
17:53:17,22912,1.1537285420004577
17:56:17,16960,0.8572396429388875
17:59:17,16128,0.8121217669947356
18:02:17,13184,0.6638773174639505
18:05:17,11392,0.5800869764248112
18:08:17,10368,0.5188555733577477
18:11:17,9344,0.4640695811398489
18:14:17,8640,0.4318425268940261
18:17:17,7872,0.39639276722362093
18:20:18,8192,0.41250629434653235
18:23:18,45888,2.31390249485008
18:26:18,45312,2.2816754406042574
18:29:18,46464,2.3364614328221562
18:32:18,46848,2.359020370794232
18:35:18,47040,2.368688487067979
18:38:18,45696,2.304234378576333
18:41:18,45824,2.304234378576333
18:44:18,46656,2.3493522545204852
18:47:18,46528,2.3429068436713205
18:50:18,46656,2.3525749599450676
18:53:18,46720,2.3525749599450676
18:56:18,46784,2.3557976653696495
18:59:18,46912,2.3654657816433966
19:02:18,45696,2.304234378576333
19:05:18,44736,2.2526710917830166
19:08:18,41344,2.0818677042801554
19:11:18,43904,2.210775921263447
19:14:18,40640,2.0496406500343327
19:17:18,44480,2.2397802700846876
19:20:18,41216,2.0786449988555735
19:23:19,41792,2.1044266422522315
19:26:19,41536,2.0915358205539025
19:29:19,38912,1.949736781872282
19:32:19,37504,1.8852826733806363
19:35:19,53440,2.6909590295262076
19:38:19,43968,2.213998626688029
19:41:19,41984,2.1108720531013963
19:44:19,36992,1.8627237354085602
19:47:19,38720,1.9529594872968643
19:50:19,37632,1.8949507896543831
19:53:19,36480,1.836942092011902
19:56:19,35520,1.79182421606775
19:59:19,34240,1.7273701075761043
20:02:19,32768,1.6500251773861294
20:05:19,31552,1.588793774319066
20:08:19,31296,1.5759029526207369
20:11:19,30784,1.5468986037994965
20:14:19,28032,1.4147676813916226
20:17:19,29824,1.5017807278553443
20:20:19,26688,1.3438681620508124
20:23:19,26112,1.3180865186541542
20:26:19,27840,1.4018768596932936
20:29:19,25984,1.3051956969558252
20:32:20,29440,1.4792217898832682
20:35:20,26752,1.3470908674753947
20:38:20,27520,1.3857633325703822
20:41:20,27072,1.3632043945983061
20:44:20,26176,1.3148638132295718
20:47:20,25600,1.2890821698329138
20:50:20,25984,1.3084184023804073
20:53:20,28736,1.4502174410620279
20:56:20,25344,1.2729686427100022
20:59:20,23872,1.2020691233691918
21:02:20,24768,1.247186999313344
21:05:20,25152,1.2665232318608375
21:08:20,32192,1.6242435339894712
21:11:20,32704,1.6468024719615473
21:14:20,31360,1.5791256580453192
21:17:20,24640,1.2407415884641795
21:20:20,23744,1.1956237125200275
21:23:20,29568,1.4921126115815975
21:26:20,23680,1.189178301670863
21:29:20,23296,1.1730647745479514
21:32:20,26176,1.3245319295033189
21:35:20,23808,1.1988464179446097
21:38:21,23552,1.179510185397116
21:41:21,25728,1.292304875257496
21:44:21,35776,1.7982696269169145
21:47:21,34688,1.7531517509727625
21:50:21,34496,1.7305928130006865
21:53:21,34432,1.737038223849851
21:56:21,29248,1.4727763790341037
21:59:21,27584,1.3793179217212175
22:02:21,32768,1.6081300068665596
22:05:21,25856,1.3084184023804073
22:08:21,20160,1.0183749141680019
22:11:21,19968,1.0054840924696726
22:14:21,24576,1.2407415884641795
22:17:21,37120,1.8659464408331423
22:20:21,27072,1.3664271000228883
22:23:21,29760,1.5017807278553443
22:26:21,25920,1.3051956969558252
22:29:21,22656,1.1376150148775461
22:32:21,20800,1.0473792629892424
22:35:21,20224,1.0151522087434195
22:38:21,27200,1.3664271000228883
22:41:21,19584,0.9861478599221789
22:44:21,22720,1.1440604257267109
22:47:21,36864,1.8562783245593957
22:50:21,39360,1.981963836118105
22:53:21,24320,1.2278507667658503
22:56:21,33216,1.6725841153582053
22:59:21,32896,1.656470588235294
23:02:22,30656,1.543675898374914
23:05:22,26432,1.3342000457770655
23:08:22,37760,1.9013962005035476
23:11:22,37760,1.9078416113527121
23:14:22,36544,1.8401647974364843
23:17:22,40768,2.052863355458915
23:20:22,41280,2.0818677042801554
23:23:22,38784,1.9529594872968643
23:26:22,35648,1.7950469214923324
23:29:22,34816,1.7499290455481802
23:32:22,37376,1.8852826733806363
23:35:22,36288,1.827273975738155
23:38:22,33664,1.6919203479056992
23:41:22,35840,1.8047150377660792
23:44:22,34944,1.7595971618219273
23:47:22,32128,1.6145754177157243
23:50:23,40640,2.0496406500343327
23:53:23,39936,2.0109681849393453
23:56:23,40576,2.043195239185168
23:59:23,41472,2.0915358205539025
00:02:23,40000,2.0141908903639276
00:05:23,41792,2.1044266422522315
00:08:23,41152,2.0689768825818264
00:11:23,40704,2.0496406500343327
00:14:23,39040,1.9658503089951933
00:17:23,39296,1.9755184252689402
00:20:23,39616,1.9980773632410163
00:23:23,38912,1.9594048981460288
00:26:23,40256,2.0238590066376747
00:29:23,36864,1.8530556191348135
00:32:23,38656,1.9465140764476996
00:35:23,39104,1.9658503089951933
00:38:23,40000,2.0174135957885095
00:41:23,38592,1.9432913710231172
00:44:23,41728,2.097981231403067
00:47:23,40000,2.0174135957885095
00:50:23,39872,2.0077454795147633
00:53:23,39104,1.9690730144197757
00:56:24,38528,1.9368459601739527
00:59:24,38528,1.940068665598535
01:02:24,38400,1.9368459601739527
01:05:24,36096,1.8143831540398259
01:08:24,43904,2.210775921263447
01:11:24,44416,2.2365575646601052
01:14:24,43328,2.1817715724422064
01:17:24,43008,2.165658045319295
01:20:24,44608,2.2494483863584347
01:23:24,44672,2.2526710917830166
01:26:24,43712,2.2011078049897
01:29:24,43456,2.1882169832913707
01:32:24,44736,2.2526710917830166
01:35:24,44864,2.259116502632181
01:38:24,44224,2.226889448386358
01:41:24,43648,2.197885099565118
01:44:24,44800,2.255893797207599
01:47:24,44800,2.255893797207599
01:50:24,43776,2.204330510414282
01:53:24,43392,2.1882169832913707
01:56:25,44864,2.259116502632181
01:59:25,44992,2.265561913481346
02:02:25,43712,2.197885099565118
02:05:25,44928,2.259116502632181
02:08:25,44928,2.2623392080567633
02:11:25,43840,2.207553215838865
02:14:25,44992,2.2623392080567633
02:17:25,44992,2.265561913481346
02:20:25,43840,2.207553215838865
02:23:25,44992,2.265561913481346
02:26:25,44992,2.268784618905928
02:29:25,43776,2.2011078049897
02:32:25,44992,2.265561913481346
02:35:25,44992,2.2623392080567633
02:38:25,43456,2.1914396887159535
02:41:25,44864,2.259116502632181
02:44:25,43584,2.1946623941405354
02:47:25,44800,2.2526710917830166
02:50:25,44672,2.2494483863584347
02:53:25,44672,2.2494483863584347
02:56:25,44608,2.2494483863584347
02:59:25,44608,2.2430029755092695
03:02:25,44480,2.2365575646601052
03:05:25,44544,2.2397802700846876
03:08:26,44416,2.2365575646601052
03:11:26,44416,2.2397802700846876
03:14:26,44416,2.233334859235523
03:17:26,44352,2.233334859235523
03:20:26,44352,2.2301121538109405
03:23:26,44224,2.2301121538109405
03:26:26,44224,2.226889448386358
03:29:26,44160,2.226889448386358
03:32:26,44096,2.220444037537194
03:35:26,44032,2.220444037537194
03:38:26,44032,2.220444037537194
03:41:26,43968,2.2172213321126115
03:44:26,43968,2.2172213321126115
03:47:26,43904,2.210775921263447
03:50:26,44032,2.2172213321126115
03:53:26,44160,2.2236667429617762
03:56:26,44096,2.220444037537194
03:59:27,44160,2.2236667429617762
04:02:27,44160,2.2236667429617762
04:05:27,42880,2.155989929045548
04:08:27,44160,2.2236667429617762
04:11:27,44032,2.220444037537194
04:14:27,44032,2.220444037537194
04:17:27,43968,2.213998626688029
04:20:27,44096,2.2172213321126115
04:23:27,43904,2.213998626688029
04:26:27,44032,2.213998626688029
04:29:27,43904,2.210775921263447
04:32:27,43840,2.207553215838865
04:35:27,43904,2.213998626688029
04:38:27,43904,2.210775921263447
04:41:27,43840,2.210775921263447
04:44:27,43840,2.204330510414282
04:47:27,43584,2.197885099565118
04:50:27,43712,2.2011078049897
04:53:27,43328,2.184994277866789
04:56:27,43584,2.197885099565118
04:59:27,43328,2.178548867017624
05:02:27,43264,2.178548867017624
05:05:28,43584,2.1946623941405354
05:08:28,43328,2.1817715724422064
05:11:28,43520,2.1914396887159535
05:14:28,43328,2.178548867017624
05:17:28,43392,2.184994277866789
05:20:28,43648,2.1946623941405354
05:23:28,43264,2.178548867017624
05:26:28,43072,2.165658045319295
05:29:28,43264,2.178548867017624
05:32:28,43136,2.1753261615930417
05:35:28,43200,2.1721034561684593
05:38:28,43328,2.184994277866789
05:41:28,43456,2.1882169832913707
05:44:28,42560,2.146321812771801
05:47:28,42752,2.155989929045548
05:50:28,43200,2.1721034561684593
05:53:29,42880,2.1592126344701303
05:56:29,42560,2.146321812771801
05:59:29,42816,2.155989929045548
06:02:29,43136,2.1688807507438774
06:05:29,43008,2.1688807507438774
06:08:29,42752,2.152767223620966
06:11:29,42688,2.1495445181963837
06:14:29,42880,2.1592126344701303
06:17:29,42880,2.1592126344701303
06:20:29,41792,2.1044266422522315
06:23:29,42560,2.143099107347219
06:26:29,42496,2.1398764019226366
06:29:29,42560,2.143099107347219
06:32:29,42624,2.146321812771801
06:35:29,42432,2.1366536964980547
06:38:29,42496,2.1398764019226366
06:41:29,42496,2.143099107347219
06:44:29,42560,2.143099107347219
06:47:29,42432,2.1366536964980547
06:50:29,42560,2.1398764019226366
